Child's First Name,Year of Birth,Gender,ASIAN AND PACIFIC ISLANDER,BLACK NON HISPANIC,HISPANIC,WHITE NON HISPANIC,overall_count,rank
BEATRICE,2011,FEMALE,0,0,0,1188,1188,262.0
BELLA,2011,FEMALE,1728,0,7236,2376,11340,61.0
BIANCA,2011,FEMALE,0,0,1728,720,2448,190.0
BLAKE,2011,FEMALE,0,0,0,504,504,442.0
BLIMA,2011,FEMALE,0,0,0,720,720,344.0
BLIMY,2011,FEMALE,0,0,0,828,828,315.0
BONNIE,2011,FEMALE,360,0,0,0,360,587.0
BRACHA,2011,FEMALE,0,0,0,864,864,309.0
BREINDY,2011,FEMALE,0,0,0,540,540,417.0
BRENDA,2011,FEMALE,0,0,612,0,612,379.0
BRIANA,2011,FEMALE,0,0,1152,0,1152,268.0
BRIANNA,2011,FEMALE,1872,5472,16416,4608,28368,20.0
BRIANNY,2011,FEMALE,0,0,360,0,360,587.0
BRIDGET,2011,FEMALE,0,0,0,504,504,442.0
BRIELLE,2011,FEMALE,0,2520,792,0,3312,162.0
BRITNEY,2011,FEMALE,0,0,432,0,432,508.0
BRITTANY,2011,FEMALE,0,0,792,0,792,323.0
BROOKE,2011,FEMALE,0,864,0,2376,3240,166.0
BROOKLYN,2011,FEMALE,0,0,0,540,540,417.0
BRUCHA,2011,FEMALE,0,0,0,684,684,361.0
BRUCHY,2011,FEMALE,0,0,0,468,468,474.0
BRYANNA,2011,FEMALE,0,0,576,0,576,394.0
BRYNN,2011,FEMALE,0,0,0,504,504,442.0
CAITLIN,2011,FEMALE,0,0,0,396,396,546.0
CAMERON,2011,FEMALE,0,0,0,396,396,546.0
CAMILA,2011,FEMALE,0,0,6768,0,6768,88.0
CAMILLE,2011,FEMALE,0,432,0,0,432,508.0
CARMEN,2011,FEMALE,0,0,432,0,432,508.0
CAROLINA,2011,FEMALE,0,0,396,0,396,546.0
CAROLINE,2011,FEMALE,0,0,864,3744,4608,122.0
CASEY,2011,FEMALE,0,0,0,432,432,508.0
CASSANDRA,2011,FEMALE,0,0,360,0,360,587.0
CATHERINE,2011,FEMALE,1944,0,0,2376,4320,134.0
CECILIA,2011,FEMALE,864,0,0,1152,2016,213.0
CELESTE,2011,FEMALE,0,0,396,0,396,546.0
CELIA,2011,FEMALE,0,0,0,360,360,587.0
CHANA,2011,FEMALE,0,0,0,4752,4752,121.0
CHANY,2011,FEMALE,0,0,0,1368,1368,253.0
CHARLIE,2011,FEMALE,0,0,0,504,504,442.0
CHARLOTTE,2011,FEMALE,1512,0,1188,13716,16416,41.0
CHAVA,2011,FEMALE,0,0,0,1656,1656,237.0
CHAVY,2011,FEMALE,0,0,0,360,360,587.0
CHAYA,2011,FEMALE,0,0,0,6408,6408,92.0
CHELSEA,2011,FEMALE,0,2664,3096,0,5760,101.0
CHEYENNE,2011,FEMALE,0,360,0,0,360,587.0
CHLOE,2011,FEMALE,15264,10368,8640,13680,47952,9.0
CHRISTINA,2011,FEMALE,2760,2346,1265,1932,8303,78.0
CHRISTINE,2011,FEMALE,396,0,0,0,396,546.0
CHRISTY,2011,FEMALE,432,0,0,0,432,508.0
CINDY,2011,FEMALE,1008,0,936,0,1944,218.0
CLAIRE,2011,FEMALE,1944,0,0,2520,4464,131.0
CLARA,2011,FEMALE,0,0,792,2016,2808,175.0
COLETTE,2011,FEMALE,0,0,0,504,504,442.0
CORA,2011,FEMALE,0,0,0,360,360,587.0
CRISTINA,2011,FEMALE,0,0,360,0,360,587.0
CRYSTAL,2011,FEMALE,0,0,936,0,936,287.0
CYNTHIA,2011,FEMALE,1008,0,720,0,1728,234.0
