Child's First Name,Year of Birth,Gender,ASIAN AND PACIFIC ISLANDER,BLACK NON HISPANIC,HISPANIC,WHITE NON HISPANIC,overall_count,rank
ELIMELECH,2012,MALE,0,0,0,648,648,358.0
ELIYAHU,2012,MALE,0,0,0,1044,1044,276.0
ELLIOT,2012,MALE,0,0,0,1044,1044,276.0
ELLIOTT,2012,MALE,0,0,0,360,360,525.0
ELLIS,2012,MALE,0,0,0,396,396,498.0
ELUZER,2012,MALE,0,0,0,396,396,498.0
ELVIN,2012,MALE,0,0,360,0,360,525.0
ELVIS,2012,MALE,360,0,0,0,360,525.0
EMANUEL,2012,MALE,0,0,1116,0,1116,269.0
EMILIANO,2012,MALE,0,0,360,0,360,525.0
EMILIO,2012,MALE,0,0,900,0,900,304.0
EMMANUEL,2012,MALE,0,2376,5976,0,8352,103.0
EMMETT,2012,MALE,0,0,0,468,468,438.0
ENRIQUE,2012,MALE,0,0,396,0,396,498.0
EPHRAIM,2012,MALE,0,0,0,540,540,392.0
ERIC,2012,MALE,17712,3168,4896,5040,30816,42.0
ERICK,2012,MALE,0,0,2736,0,2736,182.0
ERIK,2012,MALE,0,0,1584,720,2304,200.0
ESTEBAN,2012,MALE,0,0,612,0,612,370.0
ETHAN,2012,MALE,26928,21744,36576,18864,104112,1.0
EVAN,2012,MALE,11952,3024,8496,9792,33264,41.0
EVERETT,2012,MALE,0,0,0,540,540,392.0
EZEKIEL,2012,MALE,0,0,360,0,360,525.0
EZEQUIEL,2012,MALE,0,0,648,0,648,358.0
EZRA,2012,MALE,0,0,0,1908,1908,217.0
EZRIEL,2012,MALE,0,0,0,360,360,525.0
FABIAN,2012,MALE,0,0,612,0,612,370.0
FELIX,2012,MALE,2244,0,1530,2142,5916,129.0
FERNANDO,2012,MALE,0,0,1044,0,1044,276.0
FILIP,2012,MALE,0,0,0,540,540,392.0
FINN,2012,MALE,0,0,0,936,936,298.0
FRANCESCO,2012,MALE,0,0,0,432,432,467.0
FRANCISCO,2012,MALE,0,0,720,0,720,341.0
FRANK,2012,MALE,0,0,936,2376,3312,168.0
FRANKLIN,2012,MALE,0,0,468,0,468,438.0
FREDDY,2012,MALE,0,0,432,0,432,467.0
FREDERICK,2012,MALE,0,0,0,360,360,525.0
GABRIEL,2012,MALE,3888,5328,19008,15264,43488,31.0
GAEL,2012,MALE,0,0,2448,0,2448,195.0
GAVIN,2012,MALE,3450,2622,3312,5520,14904,73.0
GAVRIEL,2012,MALE,0,0,0,720,720,341.0
GEORGE,2012,MALE,0,0,1368,5400,6768,117.0
GIOVANNI,2012,MALE,0,1296,4320,2268,7884,108.0
GORDON,2012,MALE,432,0,0,0,432,467.0
GRAHAM,2012,MALE,0,0,0,756,756,333.0
GRANT,2012,MALE,0,0,0,540,540,392.0
GRAYSON,2012,MALE,0,0,0,864,864,311.0
GREGORY,2012,MALE,0,0,924,715,1639,236.0
GRIFFIN,2012,MALE,0,0,0,684,684,349.0
GUSTAVO,2012,MALE,0,0,540,0,540,392.0
HAMZA,2012,MALE,792,0,0,1008,1800,224.0
HAO,2012,MALE,396,0,0,0,396,498.0
HARRISON,2012,MALE,936,0,0,2160,3096,171.0
HARRY,2012,MALE,0,0,0,325,325,574.0
HARVEY,2012,MALE,0,0,0,360,360,525.0
HAYDEN,2012,MALE,792,0,0,720,1512,246.0
HECTOR,2012,MALE,0,0,1008,0,1008,286.0
HENRY,2012,MALE,3366,0,3672,13770,20808,56.0
HERSH,2012,MALE,0,0,0,504,504,419.0
HERSHEL,2012,MALE,0,0,0,525,525,418.0
HERSHY,2012,MALE,0,0,0,900,900,304.0
HUDSON,2012,MALE,864,0,0,4320,5184,137.0
HUGO,2012,MALE,0,0,770,990,1760,231.0
HUNTER,2012,MALE,2448,3024,1728,4464,11664,88.0
IAN,2012,MALE,6192,3456,11952,4464,26064,49.0
IBRAHIM,2012,MALE,3132,3024,0,1944,8100,105.0
IBRAHIMA,2012,MALE,0,612,0,0,612,370.0
IKER,2012,MALE,0,0,1044,0,1044,276.0
ILAN,2012,MALE,0,0,0,612,612,370.0
ISAAC,2012,MALE,3600,2448,13536,16704,36288,38.0
ISAIAH,2012,MALE,0,10260,8532,1080,19872,60.0
ISMAEL,2012,MALE,0,0,1044,0,1044,276.0
ISRAEL,2012,MALE,0,1188,2160,3240,6588,119.0
ISSAC,2012,MALE,0,0,0,360,360,525.0
IVAN,2012,MALE,7344,0,4536,1728,13608,78.0
IZAIAH,2012,MALE,0,0,396,0,396,498.0
JACE,2012,MALE,0,2160,3780,1080,7020,113.0
JACK,2012,MALE,2210,0,2856,18360,23426,54.0
JACKSON,2012,MALE,1836,0,1836,9180,12852,83.0
JACKY,2012,MALE,504,0,0,0,504,419.0
JACOB,2012,MALE,6912,8352,42192,34848,92304,2.0
JAD,2012,MALE,0,0,0,360,360,525.0
JADEN,2012,MALE,4536,5400,3132,0,13068,82.0
JADIEL,2012,MALE,0,0,1764,0,1764,228.0
JAEL,2012,MALE,0,0,792,0,792,324.0
JAHMIR,2012,MALE,0,432,0,0,432,467.0
JAIDEN,2012,MALE,0,2088,1440,0,3528,160.0
JAIME,2012,MALE,0,0,425,0,425,497.0
JAKE,2012,MALE,2052,0,4104,6264,12420,87.0
JALEN,2012,MALE,0,612,0,0,612,370.0
JAMARI,2012,MALE,0,576,0,0,576,380.0
JAMES,2012,MALE,6192,4896,10512,26928,48528,21.0
JARED,2012,MALE,0,0,684,0,684,349.0
JARIEL,2012,MALE,0,0,792,0,792,324.0
JASIAH,2012,MALE,0,576,0,0,576,380.0
JASON,2012,MALE,14544,7920,13104,5184,40752,33.0
JASPER,2012,MALE,1008,0,0,1944,2952,175.0
JAVIER,2012,MALE,0,0,1116,0,1116,269.0
JAXON,2012,MALE,0,0,0,432,432,467.0
JAY,2012,MALE,1296,0,1080,0,2376,198.0
JAYCE,2012,MALE,0,0,756,0,756,333.0
JAYDEN,2012,MALE,19635,17955,38220,3780,79590,8.0
JAYLEN,2012,MALE,0,2088,720,0,2808,180.0
JAYREN,2012,MALE,0,0,360,0,360,525.0
JAYSON,2012,MALE,0,0,1008,0,1008,286.0
JEAN,2012,MALE,0,0,1188,0,1188,263.0
JEFFERSON,2012,MALE,0,0,468,0,468,438.0
JEFFREY,2012,MALE,2088,0,2304,0,4392,147.0
JENCARLOS,2012,MALE,0,0,360,0,360,525.0
JEREMIAH,2012,MALE,0,7755,7788,0,15543,71.0
JEREMY,2012,MALE,8640,2304,16848,2592,30384,43.0
JERMAINE,2012,MALE,0,504,0,0,504,419.0
JERRY,2012,MALE,1152,0,0,0,1152,265.0
JESSE,2012,MALE,0,0,0,684,684,349.0
JESUS,2012,MALE,0,0,2844,0,2844,179.0
JIMMY,2012,MALE,360,0,0,0,360,525.0
JOAQUIN,2012,MALE,0,0,540,0,540,392.0
JOEL,2012,MALE,0,2808,7020,3024,12852,83.0
JOHAN,2012,MALE,0,0,1296,0,1296,257.0
JOHN,2012,MALE,2990,2346,10212,22632,38180,35.0
JOHNNY,2012,MALE,924,0,1320,0,2244,205.0
JONAH,2012,MALE,0,1404,1836,6480,9720,94.0
JONAS,2012,MALE,0,0,360,0,360,525.0
JONATHAN,2012,MALE,7488,7200,22896,10512,48096,22.0
JORDAN,2012,MALE,2304,8640,8208,3600,22752,55.0
JORGE,2012,MALE,0,0,1332,0,1332,256.0
JOSE,2012,MALE,0,0,5004,0,5004,140.0
JOSEPH,2012,MALE,4176,7488,21600,43200,76464,9.0
JOSHUA,2012,MALE,6210,14260,24426,10902,55798,18.0
JOSIAH,2012,MALE,0,6798,3135,0,9933,93.0
JOSUE,2012,MALE,0,0,1656,0,1656,234.0
JUAN,2012,MALE,0,0,3456,0,3456,163.0
JUDAH,2012,MALE,0,1152,0,1512,2664,185.0
JUDE,2012,MALE,0,0,0,792,792,324.0
JULIAN,2012,MALE,2898,3588,14904,8050,29440,45.0
JULIEN,2012,MALE,0,0,1080,720,1800,224.0
JULIO,2012,MALE,0,0,972,0,972,295.0
JULIUS,2012,MALE,0,0,936,0,936,298.0
JUN,2012,MALE,360,0,0,0,360,525.0
JUSTICE,2012,MALE,0,540,0,0,540,392.0
JUSTIN,2012,MALE,14375,10212,29670,6624,60881,15.0
KADEN,2012,MALE,0,576,0,0,576,380.0
KAI,2012,MALE,1428,1190,0,1836,4454,146.0
KAIDEN,2012,MALE,0,2304,720,0,3024,172.0
KALEB,2012,MALE,0,1296,1008,0,2304,200.0
KAMARI,2012,MALE,0,360,0,0,360,525.0
KAREEM,2012,MALE,0,504,0,0,504,419.0
KAYDEN,2012,MALE,0,3600,2880,0,6480,120.0
KEITH,2012,MALE,0,360,0,0,360,525.0
KELVIN,2012,MALE,0,0,864,0,864,311.0
KENNETH,2012,MALE,1122,1105,3570,0,5797,131.0
KENNY,2012,MALE,0,0,540,0,540,392.0
KEVIN,2012,MALE,13824,4464,25920,5472,49680,20.0
KHALIL,2012,MALE,0,648,0,0,648,358.0
KIERAN,2012,MALE,0,0,0,540,540,392.0
KING,2012,MALE,0,1620,0,0,1620,238.0
KINGSLEY,2012,MALE,1008,0,0,0,1008,286.0
KINGSTON,2012,MALE,468,0,0,0,468,438.0
KIYAN,2012,MALE,0,540,0,0,540,392.0
KRISH,2012,MALE,540,0,0,0,540,392.0
KRISTIAN,2012,MALE,0,360,0,0,360,525.0
KYLE,2012,MALE,9360,6336,2736,2160,20592,57.0
KYMANI,2012,MALE,0,720,0,0,720,341.0
LANDON,2012,MALE,0,0,1296,1224,2520,191.0
LAWRENCE,2012,MALE,468,0,0,0,468,438.0
LAZER,2012,MALE,0,0,0,504,504,419.0
LEANDRO,2012,MALE,0,0,540,0,540,392.0
LENNY,2012,MALE,0,0,720,0,720,341.0
LEO,2012,MALE,4644,0,1728,11124,17496,68.0
LEON,2012,MALE,1512,1188,0,3240,5940,127.0
LEONARDO,2012,MALE,0,0,4032,2376,6408,123.0
LEONEL,2012,MALE,0,0,360,0,360,525.0
LEVI,2012,MALE,0,1080,0,4176,5256,136.0
LIAM,2012,MALE,5940,10032,15400,14520,45892,27.0
LIPA,2012,MALE,0,0,0,936,936,298.0
LOGAN,2012,MALE,3450,5658,8970,7820,25898,50.0
LORENZO,2012,MALE,0,0,1080,1512,2592,187.0
LOUIS,2012,MALE,1836,0,1512,2592,5940,127.0
LUCA,2012,MALE,0,0,936,5112,6048,126.0
LUCAS,2012,MALE,18576,2160,17280,17856,55872,17.0
LUIS,2012,MALE,0,0,4608,0,4608,143.0
LUKA,2012,MALE,0,0,0,828,828,318.0
LUKAS,2012,MALE,0,0,792,1800,2592,187.0
LUKE,2012,MALE,3450,2484,1380,11615,18929,65.0
MAHAMADOU,2012,MALE,0,360,0,0,360,525.0
MAKAI,2012,MALE,0,360,0,0,360,525.0
MAKHI,2012,MALE,0,396,0,0,396,498.0
MAKSIM,2012,MALE,0,0,0,360,360,525.0
MALACHI,2012,MALE,0,1980,0,0,1980,213.0
MALIK,2012,MALE,0,1800,0,864,2664,185.0
MAMADOU,2012,MALE,0,1188,0,0,1188,263.0
MANUEL,2012,MALE,0,0,1584,0,1584,241.0
MARC,2012,MALE,0,0,0,325,325,574.0
MARCO,2012,MALE,0,0,2088,2160,4248,149.0
MARCOS,2012,MALE,0,0,900,0,900,304.0
MARCUS,2012,MALE,5106,4002,2898,1265,13271,81.0
MARIO,2012,MALE,0,0,648,0,648,358.0
MARK,2012,MALE,0,0,1080,3384,4464,145.0
MARLON,2012,MALE,0,0,468,0,468,438.0
MARTIN,2012,MALE,0,0,1152,2376,3528,160.0
MARVIN,2012,MALE,0,0,504,0,504,419.0
MASON,2012,MALE,8928,14832,27072,14400,65232,12.0
MATEO,2012,MALE,0,0,5544,1224,6768,117.0
MATHEW,2012,MALE,0,0,792,0,792,324.0
MATHIAS,2012,MALE,0,0,468,0,468,438.0
MATIAS,2012,MALE,0,0,720,0,720,341.0
MATTEO,2012,MALE,0,0,792,2016,2808,180.0
MATTHEW,2012,MALE,9775,8280,38502,23184,79741,7.0
MAURICE,2012,MALE,0,325,0,0,325,574.0
MAURICIO,2012,MALE,0,0,468,0,468,438.0
MAX,2012,MALE,3564,0,4212,11448,19224,64.0
MAXIM,2012,MALE,0,0,0,600,600,379.0
MAXIMILIAN,2012,MALE,0,0,0,1080,1080,272.0
MAXIMILIANO,2012,MALE,0,0,612,0,612,370.0
MAXIMUS,2012,MALE,0,0,1872,1008,2880,177.0
MAXWELL,2012,MALE,1728,0,1944,5832,9504,96.0
MAYER,2012,MALE,0,0,0,828,828,318.0
MEIR,2012,MALE,0,0,0,1800,1800,224.0
MEKHI,2012,MALE,0,756,0,0,756,333.0
MELVIN,2012,MALE,0,0,684,0,684,349.0
MENACHEM,2012,MALE,0,0,0,2736,2736,182.0
MENDEL,2012,MALE,0,0,0,1800,1800,224.0
MENDY,2012,MALE,0,0,0,864,864,311.0
MESSIAH,2012,MALE,0,1080,0,0,1080,272.0
MEYER,2012,MALE,0,0,0,360,360,525.0
MICAH,2012,MALE,0,2088,0,1656,3744,158.0
MICHAEL,2012,MALE,5328,16560,26928,35280,84096,3.0
MIGUEL,2012,MALE,0,0,3348,0,3348,166.0
MIKE,2012,MALE,0,0,432,0,432,467.0
MILES,2012,MALE,1944,2052,0,5724,9720,94.0
MILO,2012,MALE,0,0,0,720,720,341.0
MOHAMED,2012,MALE,1224,4794,0,2975,8993,98.0
MOHAMMAD,2012,MALE,3190,0,0,726,3916,157.0
MOHAMMED,2012,MALE,3888,1188,0,2052,7128,111.0
MOISES,2012,MALE,0,0,468,0,468,438.0
MOISHE,2012,MALE,0,0,0,792,792,324.0
MORDECHAI,2012,MALE,0,0,0,3276,3276,170.0
MOSES,2012,MALE,0,0,0,648,648,358.0
MOSHE,2012,MALE,0,0,0,8568,8568,101.0
MOUSSA,2012,MALE,0,432,0,0,432,467.0
MUHAMMAD,2012,MALE,12096,1836,0,1404,15336,72.0
MUSA,2012,MALE,468,0,0,0,468,438.0
MUSTAFA,2012,MALE,432,0,0,0,432,467.0
MYLES,2012,MALE,0,1080,0,936,2016,212.0
NACHMAN,2012,MALE,0,0,0,612,612,370.0
NAFTALI,2012,MALE,0,0,0,864,864,311.0
NASIR,2012,MALE,0,1152,0,0,1152,265.0
NATHAN,2012,MALE,5328,6912,10944,10944,34128,40.0
NATHANAEL,2012,MALE,0,468,0,0,468,438.0
NATHANIEL,2012,MALE,3312,7728,8832,6785,26657,47.0
NEIL,2012,MALE,360,0,0,0,360,525.0
NELSON,2012,MALE,864,0,1080,0,1944,214.0
NEYMAR,2012,MALE,0,0,504,0,504,419.0
NICHOLAS,2012,MALE,5040,5616,12816,24192,47664,24.0
NICO,2012,MALE,0,0,0,432,432,467.0
NICOLAS,2012,MALE,0,0,4392,2088,6480,120.0
NIKHIL,2012,MALE,540,0,0,0,540,392.0
NIKITA,2012,MALE,0,0,0,396,396,498.0
NIKOLAS,2012,MALE,0,0,0,360,360,525.0
NOAH,2012,MALE,7632,13680,23328,18864,63504,13.0
NOAM,2012,MALE,0,0,0,504,504,419.0
NOEL,2012,MALE,0,936,1656,0,2592,187.0
NOLAN,2012,MALE,0,0,0,648,648,358.0
NOSSON,2012,MALE,0,0,0,468,468,438.0
OLIVER,2012,MALE,2916,0,4644,12096,19656,62.0
OMAR,2012,MALE,0,1428,2550,3910,7888,107.0
OMARI,2012,MALE,0,612,0,0,612,370.0
OSCAR,2012,MALE,1734,0,3876,2295,7905,106.0
OUMAR,2012,MALE,0,612,0,0,612,370.0
OWEN,2012,MALE,3888,0,0,4968,8856,99.0
PABLO,2012,MALE,0,0,576,0,576,380.0
PARKER,2012,MALE,0,0,0,792,792,324.0
PATRICK,2012,MALE,1152,0,0,2304,3456,163.0
PAUL,2012,MALE,0,1404,1296,3024,5724,132.0
PEDRO,2012,MALE,0,0,684,0,684,349.0
PETER,2012,MALE,0,0,936,3312,4248,149.0
PEYTON,2012,MALE,0,432,0,0,432,467.0
PHILIP,2012,MALE,0,0,0,575,575,390.0
PINCHAS,2012,MALE,0,0,0,468,468,438.0
PINCHUS,2012,MALE,0,0,0,468,468,438.0
PRESTON,2012,MALE,0,1296,1512,1404,4212,152.0
PRINCE,2012,MALE,0,3528,1584,0,5112,138.0
QUINN,2012,MALE,0,0,0,432,432,467.0
RAFAEL,2012,MALE,0,0,2376,2592,4968,141.0
RANDY,2012,MALE,0,0,1584,0,1584,241.0
RAPHAEL,2012,MALE,0,0,0,450,450,464.0
RAUL,2012,MALE,0,0,540,0,540,392.0
RAYAN,2012,MALE,1440,0,0,1152,2592,187.0
RAYMOND,2012,MALE,3456,0,3024,2160,8640,100.0
RAYYAN,2012,MALE,432,0,0,0,432,467.0
REED,2012,MALE,0,0,0,396,396,498.0
REHAN,2012,MALE,396,0,0,0,396,498.0
REID,2012,MALE,0,0,0,504,504,419.0
REUVEN,2012,MALE,0,0,0,504,504,419.0
RICARDO,2012,MALE,0,0,1008,0,1008,286.0
RICHARD,2012,MALE,5184,2160,5904,4176,17424,69.0
RICKY,2012,MALE,432,0,0,0,432,467.0
RILEY,2012,MALE,0,1008,936,0,1944,214.0
ROBERT,2012,MALE,0,1955,2550,7956,12461,86.0
ROBERTO,2012,MALE,0,0,648,0,648,358.0
ROCCO,2012,MALE,0,0,0,648,648,358.0
RODRIGO,2012,MALE,0,0,432,0,432,467.0
ROHAN,2012,MALE,500,0,0,0,500,437.0
ROMAN,2012,MALE,0,0,720,1152,1872,220.0
ROMEO,2012,MALE,0,0,540,0,540,392.0
RONALD,2012,MALE,0,0,468,0,468,438.0
RONAN,2012,MALE,0,0,0,432,432,467.0
RORY,2012,MALE,0,0,0,540,540,392.0
ROWAN,2012,MALE,0,0,0,432,432,467.0
ROY,2012,MALE,540,0,0,0,540,392.0
RUBEN,2012,MALE,0,0,432,0,432,467.0
RYAN,2012,MALE,28368,10224,18144,23760,80496,6.0
SALVATORE,2012,MALE,0,0,0,900,900,304.0
SAM,2012,MALE,0,0,0,1044,1044,276.0
SAMI,2012,MALE,0,0,0,360,360,525.0
SAMIR,2012,MALE,0,864,0,720,1584,241.0
SAMUEL,2012,MALE,4968,4140,11454,27324,47886,23.0
SANTIAGO,2012,MALE,0,0,1425,0,1425,252.0
SAUL,2012,MALE,0,0,432,0,432,467.0
SEAN,2012,MALE,3312,2592,2736,5904,14544,75.0
SEBASTIAN,2012,MALE,2448,2592,28512,10656,44208,29.0
SERGIO,2012,MALE,0,0,432,0,432,467.0
SHALOM,2012,MALE,0,0,0,468,468,438.0
SHANE,2012,MALE,0,1152,0,1728,2880,177.0
SHAWN,2012,MALE,0,756,0,0,756,333.0
SHAYA,2012,MALE,0,0,0,936,936,298.0
SHAYAAN,2012,MALE,468,0,0,0,468,438.0
SHAYAN,2012,MALE,360,0,0,0,360,525.0
SHEA,2012,MALE,0,0,0,396,396,498.0
SHIA,2012,MALE,0,0,0,900,900,304.0
SHIMON,2012,MALE,0,0,0,3348,3348,166.0
SHLOIME,2012,MALE,0,0,0,300,300,577.0
SHLOIMY,2012,MALE,0,0,0,576,576,380.0
SHLOMA,2012,MALE,0,0,0,396,396,498.0
SHLOME,2012,MALE,0,0,0,684,684,349.0
SHLOMO,2012,MALE,0,0,0,1908,1908,217.0
SHMIEL,2012,MALE,0,0,0,828,828,318.0
SHMUEL,2012,MALE,0,0,0,1764,1764,228.0
SHNEUR,2012,MALE,0,0,0,360,360,525.0
SHOLOM,2012,MALE,0,0,0,432,432,467.0
SHULEM,2012,MALE,0,0,0,1296,1296,257.0
SILAS,2012,MALE,0,0,0,432,432,467.0
SIMCHA,2012,MALE,0,0,0,1260,1260,260.0
SIMON,2012,MALE,0,0,0,1375,1375,253.0
SINCERE,2012,MALE,0,360,0,0,360,525.0
SKYLER,2012,MALE,0,0,396,0,396,498.0
SOLOMON,2012,MALE,0,0,0,1296,1296,257.0
SPENCER,2012,MALE,0,0,0,648,648,358.0
STANLEY,2012,MALE,648,0,0,0,648,358.0
STEPHEN,2012,MALE,0,0,715,924,1639,236.0
STEVE,2012,MALE,0,0,468,0,468,438.0
STEVEN,2012,MALE,4032,1728,10080,4464,20304,59.0
SUBHAN,2012,MALE,360,0,0,0,360,525.0
SYED,2012,MALE,1008,0,0,0,1008,286.0
TENZIN,2012,MALE,1080,0,0,0,1080,272.0
TERRELL,2012,MALE,0,360,0,0,360,525.0
TERRENCE,2012,MALE,504,0,0,0,504,419.0
THEO,2012,MALE,0,0,0,432,432,467.0
THEODORE,2012,MALE,864,0,0,6120,6984,115.0
THOMAS,2012,MALE,3600,2016,2880,18144,26640,48.0
TIMOTHY,2012,MALE,1728,1080,0,2592,5400,135.0
TOMAS,2012,MALE,0,0,0,250,250,580.0
TRISTAN,2012,MALE,3312,7776,4608,4176,19872,60.0
TROY,2012,MALE,0,468,0,0,468,438.0
TYLER,2012,MALE,5760,12960,10512,7344,36576,37.0
TZVI,2012,MALE,0,0,0,975,975,294.0
URIEL,2012,MALE,0,0,468,0,468,438.0
USHER,2012,MALE,0,0,0,972,972,295.0
VICTOR,2012,MALE,1650,0,4200,2325,8175,104.0
VIHAAN,2012,MALE,360,0,0,0,360,525.0
VINCENT,2012,MALE,8208,0,1512,4428,14148,76.0
WESLEY,2012,MALE,1944,0,1296,1296,4536,144.0
WILLIAM,2012,MALE,12834,3036,8395,22356,46621,26.0
WILSON,2012,MALE,1080,0,792,0,1872,220.0
WINSTON,2012,MALE,432,0,0,0,432,467.0
WYATT,2012,MALE,0,0,0,550,550,391.0
XAVIER,2012,MALE,0,4182,9180,1275,14637,74.0
YAAKOV,2012,MALE,0,0,0,1764,1764,228.0
YADIEL,2012,MALE,0,0,936,0,936,298.0
YAEL,2012,MALE,0,0,540,0,540,392.0
YAHIR,2012,MALE,0,0,684,0,684,349.0
YAKOV,2012,MALE,0,0,0,2196,2196,209.0
YANDEL,2012,MALE,0,0,450,0,450,464.0
YARIEL,2012,MALE,0,0,360,0,360,525.0
YECHEZKEL,2012,MALE,0,0,0,468,468,438.0
YECHIEL,2012,MALE,0,0,0,1008,1008,286.0
YEHOSHUA,2012,MALE,0,0,0,792,792,324.0
YEHUDA,2012,MALE,0,0,0,2952,2952,175.0
YISRAEL,2012,MALE,0,0,0,275,275,578.0
YISROEL,2012,MALE,0,0,0,2988,2988,174.0
YITZCHAK,2012,MALE,0,0,0,350,350,573.0
YITZCHOK,2012,MALE,0,0,0,2448,2448,195.0
YOEL,2012,MALE,0,0,0,828,828,318.0
YONA,2012,MALE,0,0,0,360,360,525.0
YOSEF,2012,MALE,0,0,0,4176,4176,153.0
YOSSI,2012,MALE,0,0,0,396,396,498.0
YOUSEF,2012,MALE,0,0,0,468,468,438.0
YOUSSEF,2012,MALE,0,0,0,396,396,498.0
YUSUF,2012,MALE,1080,0,0,1008,2088,211.0
ZACHARY,2012,MALE,4025,3588,3174,14214,25001,53.0
ZAIN,2012,MALE,864,0,0,720,1584,241.0
ZAIRE,2012,MALE,0,828,0,0,828,318.0
ZALMEN,2012,MALE,0,0,0,432,432,467.0
ZAYAN,2012,MALE,360,0,0,0,360,525.0
ZAYDEN,2012,MALE,0,0,468,0,468,438.0
ZEV,2012,MALE,0,0,0,1728,1728,232.0
ZION,2012,MALE,0,3096,1296,0,4392,147.0
Aaliyah,2013,FEMALE,0,5256,4032,0,9288,72.0
Abby,2013,FEMALE,540,0,0,0,540,422.0
Abigail,2013,FEMALE,4692,5520,13110,13248,36570,14.0
Abrielle,2013,FEMALE,0,396,0,0,396,543.0
Abril,2013,FEMALE,0,0,360,0,360,580.0
Ada,2013,FEMALE,720,0,0,792,1512,247.0
Addison,2013,FEMALE,0,0,0,936,936,303.0
Adelaide,2013,FEMALE,0,0,0,432,432,503.0
Adele,2013,FEMALE,0,0,0,756,756,335.0
Adeline,2013,FEMALE,0,0,0,432,432,503.0
Adina,2013,FEMALE,0,0,0,612,612,394.0
Adriana,2013,FEMALE,0,0,3384,1440,4824,120.0
Adrianna,2013,FEMALE,0,1296,1728,1188,4212,133.0
Ahuva,2013,FEMALE,0,0,0,648,648,376.0
Aicha,2013,FEMALE,0,468,0,0,468,464.0
Aileen,2013,FEMALE,0,0,576,0,576,406.0
Aimee,2013,FEMALE,0,0,468,0,468,464.0
Aisha,2013,FEMALE,1944,2268,0,1188,5400,114.0
Aissata,2013,FEMALE,0,360,0,0,360,580.0
Aissatou,2013,FEMALE,0,504,0,0,504,440.0
Alana,2013,FEMALE,0,1056,935,0,1991,214.0
Alani,2013,FEMALE,0,0,432,0,432,503.0
Alanis,2013,FEMALE,0,0,396,0,396,543.0
Alanna,2013,FEMALE,0,0,432,0,432,503.0
Aleena,2013,FEMALE,936,0,0,0,936,303.0
Alejandra,2013,FEMALE,0,0,325,0,325,625.0
Aleksandra,2013,FEMALE,0,0,0,396,396,543.0
Alessandra,2013,FEMALE,0,0,792,770,1562,243.0
Alessia,2013,FEMALE,0,0,0,432,432,503.0
Alexa,2013,FEMALE,0,0,4104,3816,7920,84.0
Alexandra,2013,FEMALE,1584,1584,4320,14112,21600,25.0
Alexia,2013,FEMALE,0,0,1728,720,2448,185.0
Alexis,2013,FEMALE,0,660,0,1650,2310,193.0
Alice,2013,FEMALE,3780,0,1296,5940,11016,60.0
Alicia,2013,FEMALE,0,0,684,0,684,361.0
Alina,2013,FEMALE,3264,0,1938,1275,6477,101.0
Alisa,2013,FEMALE,0,0,0,275,275,634.0
Alison,2013,FEMALE,0,0,648,0,648,376.0
Alisson,2013,FEMALE,0,0,396,0,396,543.0
Aliyah,2013,FEMALE,0,1008,1224,0,2232,197.0
Aliza,2013,FEMALE,0,0,0,648,648,376.0
Allison,2013,FEMALE,1296,0,11016,1296,13608,53.0
Allyson,2013,FEMALE,0,0,648,0,648,376.0
Alma,2013,FEMALE,0,0,720,720,1440,257.0
Alondra,2013,FEMALE,0,0,504,0,504,440.0
Alyssa,2013,FEMALE,3726,4025,5520,2622,15893,44.0
Amalia,2013,FEMALE,0,0,0,432,432,503.0
Amanda,2013,FEMALE,1188,0,3888,1404,6480,99.0
Amani,2013,FEMALE,0,360,0,0,360,580.0
Amaya,2013,FEMALE,0,1584,2160,0,3744,145.0
Amber,2013,FEMALE,2376,1728,3348,0,7452,90.0
Amelia,2013,FEMALE,4032,2310,3465,6720,16527,41.0
Amelie,2013,FEMALE,0,0,0,540,540,422.0
Amina,2013,FEMALE,0,1188,0,825,2013,213.0
Aminata,2013,FEMALE,0,1080,0,0,1080,282.0
Amira,2013,FEMALE,0,1008,0,1224,2232,197.0
Amirah,2013,FEMALE,0,432,0,0,432,503.0
Amiyah,2013,FEMALE,0,648,0,0,648,376.0
Amy,2013,FEMALE,2052,0,8856,1512,12420,55.0
Ana,2013,FEMALE,0,0,1944,936,2880,170.0
Anabel,2013,FEMALE,0,0,396,0,396,543.0
Anabella,2013,FEMALE,0,0,504,0,504,440.0
Analia,2013,FEMALE,0,0,432,0,432,503.0
Ananya,2013,FEMALE,360,0,0,0,360,580.0
Anastasia,2013,FEMALE,0,0,0,1188,1188,273.0
Anaya,2013,FEMALE,1632,1938,935,0,4505,128.0
Andrea,2013,FEMALE,0,0,1548,0,1548,246.0
Angel,2013,FEMALE,1296,936,0,0,2232,197.0
Angela,2013,FEMALE,3080,0,1386,0,4466,129.0
Angelica,2013,FEMALE,0,0,612,0,612,394.0
Angelina,2013,FEMALE,3080,1320,7260,5676,17336,37.0
Angelique,2013,FEMALE,0,0,540,0,540,422.0
Angie,2013,FEMALE,0,0,792,0,792,328.0
Anika,2013,FEMALE,468,0,0,0,468,464.0
Anisa,2013,FEMALE,0,0,0,468,468,464.0
Aniya,2013,FEMALE,0,540,0,0,540,422.0
Aniyah,2013,FEMALE,0,1008,0,0,1008,290.0
Anna,2013,FEMALE,2520,0,0,7056,9576,70.0
